ProjectName,FilePath,ExceptionType,InvokedMethods,ThrowException,IsCustomerExceptionThrown
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\provider\impl\ProviderEmployeeServiceImpl.java,ParseException,error|getMessage,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\state\verificator\impl\StateVerificatorServiceImpl.java,ParseException,error|getMessage,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\state\verificator\impl\StateVerificatorServiceImpl.java,ParseException,error|getMessage,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\storage\impl\FileOperationsImpl.java,IOException,info,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\tool\impl\MailServiceImpl.java,UnknownHostException,error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\tool\impl\MailServiceImpl.java,UnknownHostException,error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\tool\impl\MailServiceImpl.java,UnknownHostException,error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\tool\impl\MailServiceImpl.java,UnknownHostException,error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\tool\impl\MailServiceImpl.java,Exception,error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\tool\impl\ReportsServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\tool\impl\ReportsServiceImpl.java,Exception,error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\tool\impl\ReportsServiceImpl.java,Exception,error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\tool\impl\ReportsServiceImpl.java,Exception,error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\tool\impl\ReportsServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\tool\impl\ReportsServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\tool\impl\ReportsServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\tool\impl\ReportsServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\tool\impl\ReportsServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\tool\impl\ReportsServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\tool\impl\ReportsServiceImpl.java,Exception,add|error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\utils\ArchivalVerificationsQueryConstructorCalibrator.java,Exception,error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\utils\ArchivalVerificationsQueryConstructorProvider.java,Exception,error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\utils\ArchivalVerificationsQueryConstructorVerificator.java,ParseException,error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\utils\CalibrationTestQueryConstructorCalibrator.java,Exception,error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\utils\NewVerificationsQueryConstructorCalibrator.java,Exception,error,,
calibration-devices-system,D:\Study\Graduate Seminar\Projects\calibration-devices-system\service\src\main\java\com\softserve\edu\service\utils\NewVerificationsQueryConstructorProvider.java,Exception,error,,
